               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.038009,             0.01643,            0.002031,             0.81908,             0.72684,             0.76925,             0.45959,            0.034984,           0.0073765,           0.0032703,            0.008845,            0.008845,            0.008845
                  37,            0.037829,            0.016352,           0.0017482,             0.77948,             0.67814,             0.72469,             0.43833,            0.034997,           0.0077066,           0.0036109,            0.008812,            0.008812,            0.008812
                  38,            0.037898,            0.016332,           0.0015133,             0.82996,               0.725,             0.77576,              0.4603,            0.034945,           0.0076374,           0.0037453,            0.008779,            0.008779,            0.008779
                  39,            0.037304,            0.016254,           0.0018081,             0.77833,             0.69547,             0.75069,             0.42587,             0.03589,           0.0074904,           0.0038587,            0.008746,            0.008746,            0.008746
                  40,            0.037332,            0.015717,           0.0018452,             0.82641,             0.73771,              0.7869,             0.46888,            0.035369,           0.0074113,           0.0029213,            0.008713,            0.008713,            0.008713
                  41,            0.037854,             0.01623,           0.0022299,             0.79342,             0.71678,             0.75749,             0.45526,            0.035918,           0.0075245,           0.0034443,             0.00868,             0.00868,             0.00868
                  42,            0.037361,            0.016307,           0.0019749,              0.8252,             0.71953,             0.78084,             0.48128,            0.035484,           0.0072679,           0.0036783,            0.008647,            0.008647,            0.008647
                  43,            0.037397,            0.016275,           0.0018324,             0.80008,             0.73194,             0.77302,             0.46466,            0.034058,            0.007439,           0.0028568,            0.008614,            0.008614,            0.008614
                  44,             0.03653,            0.015677,           0.0018229,             0.82765,             0.73214,             0.78033,             0.47402,            0.034228,           0.0073861,           0.0030486,            0.008581,            0.008581,            0.008581
                  45,             0.03689,            0.016095,           0.0015477,             0.82863,             0.70769,             0.77493,             0.48152,             0.03475,           0.0074167,           0.0032668,            0.008548,            0.008548,            0.008548
                  46,            0.036204,             0.01587,           0.0013935,             0.83207,             0.72493,              0.7887,             0.48629,            0.034103,           0.0072391,           0.0032714,            0.008515,            0.008515,            0.008515
                  47,            0.036631,             0.01548,           0.0017886,             0.83266,             0.71302,             0.77694,             0.47344,            0.033508,           0.0074245,           0.0026678,            0.008482,            0.008482,            0.008482
                  48,            0.035556,            0.015769,           0.0013822,             0.80896,             0.73206,             0.76819,             0.46801,            0.034936,           0.0074463,            0.002972,            0.008449,            0.008449,            0.008449
