               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093975,            0.032837,                   0,             0.46259,             0.36328,             0.35876,             0.13192,             0.06405,            0.019094,                   0,            0.070136,           0.0033183,           0.0033183
                   1,            0.064113,            0.028154,                   0,             0.55993,             0.44531,             0.45063,             0.17435,            0.058109,             0.01667,                   0,            0.037941,           0.0044566,           0.0044566
                   2,            0.055347,            0.026971,                   0,             0.52567,             0.46094,             0.46765,             0.19268,            0.055969,            0.016599,                   0,           0.0035457,           0.0033949,           0.0033949
